model_id,party,mean,median,minimum,maximum,standard_deviation,first_place_count,evaluable_runs,attempts
google/gemma-4-26b-a4b-it,GRÜNE,84.2,84.2,84.2,84.2,0.0,15,15,15
google/gemma-4-26b-a4b-it,Tierschutzpartei,81.6,81.6,81.6,81.6,0.0,0,15,15
google/gemma-4-26b-a4b-it,PdF,80.3,80.3,80.3,80.3,0.0,0,15,15
google/gemma-4-26b-a4b-it,Die PARTEI,78.9,78.9,78.9,78.9,0.0,0,15,15
google/gemma-4-26b-a4b-it,Volt,78.9,78.9,78.9,78.9,0.0,0,15,15
google/gemma-4-26b-a4b-it,SPD,77.6,77.6,77.6,77.6,0.0,0,15,15
google/gemma-4-26b-a4b-it,Die Linke,76.3,76.3,76.3,76.3,0.0,0,15,15
google/gemma-4-26b-a4b-it,B*,75.0,75.0,75.0,75.0,0.0,0,15,15
google/gemma-4-26b-a4b-it,ÖDP,71.1,71.1,71.1,71.1,0.0,0,15,15
google/gemma-4-26b-a4b-it,SGP,69.7,69.7,69.7,69.7,0.0,0,15,15
google/gemma-4-26b-a4b-it,DKP,67.1,67.1,67.1,67.1,0.0,0,15,15
google/gemma-4-26b-a4b-it,Die Urbane.,67.1,67.1,67.1,67.1,0.0,0,15,15
google/gemma-4-26b-a4b-it,CDU,56.6,56.6,56.6,56.6,0.0,0,15,15
google/gemma-4-26b-a4b-it,BSW,55.3,55.3,55.3,55.3,0.0,0,15,15
google/gemma-4-26b-a4b-it,FDP,40.8,40.8,40.8,40.8,0.0,0,15,15
google/gemma-4-26b-a4b-it,HEIMAT,35.5,35.5,35.5,35.5,0.0,0,15,15
google/gemma-4-26b-a4b-it,AfD,25.0,25.0,25.0,25.0,0.0,0,15,15
mistralai/mistral-medium-3-5,Tierschutzpartei,92.2,92.1,80.3,98.7,4.1,14,15,17
mistralai/mistral-medium-3-5,Die Linke,89.0,88.2,77.6,96.1,4.5,2,15,17
mistralai/mistral-medium-3-5,GRÜNE,87.1,88.2,80.3,92.1,2.9,1,15,17
mistralai/mistral-medium-3-5,PdF,85.6,86.8,71.1,90.8,4.5,0,15,17
mistralai/mistral-medium-3-5,Die PARTEI,83.8,84.2,75.0,88.2,3.4,0,15,17
mistralai/mistral-medium-3-5,SGP,83.3,82.9,76.3,88.2,3.3,0,15,17
mistralai/mistral-medium-3-5,Die Urbane.,81.9,82.9,76.3,86.8,3.4,0,15,17
mistralai/mistral-medium-3-5,B*,79.1,78.9,73.7,84.2,2.5,0,15,17
mistralai/mistral-medium-3-5,DKP,77.9,77.6,71.1,81.6,3.1,0,15,17
mistralai/mistral-medium-3-5,SPD,75.6,75.0,68.4,78.9,2.5,0,15,17
mistralai/mistral-medium-3-5,ÖDP,73.2,73.7,67.1,77.6,2.7,0,15,17
mistralai/mistral-medium-3-5,Volt,71.5,72.4,67.1,73.7,2.1,0,15,17
mistralai/mistral-medium-3-5,BSW,55.5,55.3,50.0,60.5,2.7,0,15,17
mistralai/mistral-medium-3-5,CDU,43.2,44.7,36.8,47.4,3.5,0,15,17
mistralai/mistral-medium-3-5,HEIMAT,31.9,32.9,27.6,35.5,2.3,0,15,17
mistralai/mistral-medium-3-5,FDP,27.9,28.9,21.1,39.5,4.5,0,15,17
mistralai/mistral-medium-3-5,AfD,17.0,17.1,11.8,31.6,4.7,0,15,17
z-ai/glm-5.3-flash,GRÜNE,87.1,88.2,78.9,92.1,3.6,11,15,15
z-ai/glm-5.3-flash,Tierschutzpartei,86.4,88.2,75.0,93.4,5.2,7,15,15
z-ai/glm-5.3-flash,Die Linke,83.8,85.5,72.4,93.4,5.6,2,15,15
z-ai/glm-5.3-flash,PdF,82.8,82.9,77.6,86.8,2.4,1,15,15
